,minute,player_name,team,xG,psXg,type_2
0,22,Ante Budimir,Croatia,0.03,,Off Target
1,30,Mateo Kovačić,Croatia,0.13,0.16,Saved
2,33,Marcelo Brozović,Croatia,0.10,0.16,Saved
3,33,Lovro Majer,Croatia,0.12,,Off Target
4,41,Joško Gvardiol,Croatia,0.06,,Off Target
5,45,Andrej Kramarić,Croatia,0.01,,Off Target
6,45,Mateo Kovačić,Croatia,0.02,,Off Target
7,51,Joško Gvardiol,Croatia,0.03,,Blocked
8,55,Josip Stanišić,Croatia,0.19,,Blocked
9,55,Ante Budimir,Croatia,0.27,,Off Target
10,55,Andrej Kramarić,Croatia,0.45,0.90,Saved
11,55,Mateo Kovačić,Croatia,0.20,,Off Target
12,80,Bruno Petković (pen),Croatia,0.79,0.99,Saved
13,84,Ivan Perišić,Croatia,0.05,,Blocked
14,84,Ivan Perišić,Croatia,0.02,0.19,Saved
15,90,Ivan Perišić,Croatia,0.01,,Off Target
